Country_Name,Sl.No.,Landmass,Zone,Area,Population,Language,Bars,Stripes,Colours,Red,Green,Blue,Gold,White,Black,Orange,Mainhue,Circles,Crosses,Saltires,Quarters,Sunstars,Crescent,Triangle,Icon,Animate,Text,Topleft,Botright,Religion
Afghanistan,1,5,1,648,16,10,0,3,5,1,1,0,1,1,1,0,3,0,0,0,0,1,0,0,1,0,0,2,3,2
Albania,2,3,1,29,3,6,0,0,3,1,0,0,1,0,1,0,4,0,0,0,0,1,0,0,0,1,0,4,4,6
Algeria,3,4,1,2388,20,8,2,0,3,1,1,0,0,1,0,0,3,0,0,0,0,1,1,0,0,0,0,3,1,2
American-Samoa,4,6,3,0,0,1,0,0,5,1,0,1,1,1,0,1,5,0,0,0,0,0,0,1,1,1,0,5,4,1
Andorra,5,3,1,0,0,6,3,0,3,1,0,1,1,0,0,0,8,0,0,0,0,0,0,0,0,0,0,5,4,0
Angola,6,4,2,1247,7,10,0,2,3,1,0,0,1,0,1,0,4,0,0,0,0,1,0,0,1,0,0,4,2,5
Anguilla,7,1,4,0,0,1,0,1,3,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,1,5,1
Antigua-Barbuda,8,1,4,0,0,1,0,1,5,1,0,1,1,1,1,0,4,0,0,0,0,1,0,1,0,0,0,2,4,1
Argentina,9,2,3,2777,28,2,0,3,2,0,0,1,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,5,5,0
Argentine,10,2,3,2777,28,2,0,3,3,0,0,1,1,1,0,0,5,0,0,0,0,1,0,0,0,0,0,5,5,0
Australia,11,6,2,7690,15,1,0,0,3,1,0,1,0,1,0,0,5,0,1,1,1,6,0,0,0,0,0,1,5,1
Austria,12,3,1,84,8,4,0,3,2,1,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,4,4,0
Bahamas,13,1,4,19,0,1,0,3,3,0,0,1,1,0,1,0,5,0,0,0,0,0,0,1,0,0,0,5,5,1
Bahrain,14,5,1,1,0,8,0,0,2,1,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,1,4,2
Bangladesh,15,5,1,143,90,6,0,0,2,1,1,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,3,3,2
Barbados,16,1,4,0,0,1,3,0,3,0,0,1,1,0,1,0,5,0,0,0,0,0,0,0,1,0,0,5,5,1
Belgium,17,3,1,31,10,6,3,0,3,1,0,0,1,0,1,0,8,0,0,0,0,0,0,0,0,0,0,2,4,0
Belize,18,1,4,23,0,1,0,2,8,1,1,1,1,1,1,1,5,1,0,0,0,0,0,0,1,1,1,4,4,1
Benin,19,4,1,113,3,3,0,0,2,1,1,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,3,3,5
Bermuda,20,1,4,0,0,1,0,0,6,1,1,1,1,1,1,0,4,1,1,1,1,0,0,0,1,1,0,1,4,1
Bhutan,21,5,1,47,1,10,0,0,4,1,0,0,0,1,1,1,6,4,0,0,0,0,0,0,0,1,0,6,4,3
Bolivia,22,2,3,1099,6,2,0,3,3,1,1,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4,3,0
Botswana,23,4,2,600,1,10,0,5,3,0,0,1,0,1,1,0,5,0,0,0,0,0,0,0,0,0,0,5,5,5
Brazil,24,2,3,8512,119,6,0,0,4,0,1,1,1,1,0,0,3,1,0,0,0,22,0,0,0,0,1,3,3,0
British-Virgin-Isles,25,1,4,0,0,1,0,0,6,1,1,1,1,1,0,1,5,0,1,1,1,0,0,0,1,1,1,1,5,1
Brunei,26,5,1,6,0,10,0,0,4,1,0,0,1,1,1,0,8,0,0,0,0,0,0,1,1,1,1,1,8,2
Bulgaria,27,3,1,111,9,5,0,3,5,1,1,1,1,1,0,0,4,0,0,0,0,1,0,0,1,1,0,1,4,6
Burkina,28,4,4,274,7,3,0,2,3,1,1,0,1,0,0,0,4,0,0,0,0,1,0,0,0,0,0,4,3,5
Burma,29,5,1,678,35,10,0,0,3,1,0,1,0,1,0,0,4,0,0,0,1,14,0,0,1,1,0,5,4,3
Burundi,30,4,2,28,4,10,0,0,3,1,1,0,0,1,0,0,4,1,0,1,0,3,0,0,0,0,0,1,1,5
Cameroon,31,4,1,474,8,3,3,0,3,1,1,0,1,0,0,0,8,0,0,0,0,1,0,0,0,0,0,3,8,1
Canada,32,1,4,9976,24,1,2,0,2,1,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,1,0,4,4,1
Cape-Verde-Islands,33,4,4,4,0,6,1,2,5,1,1,0,1,0,1,1,8,0,0,0,0,1,0,0,0,1,0,4,3,0
Cayman-Islands,34,1,4,0,0,1,0,0,6,1,1,1,1,1,0,1,5,1,1,1,1,4,0,0,1,1,1,1,5,1
Central-African-Republic,35,4,1,623,2,10,1,0,5,1,1,1,1,1,0,0,8,0,0,0,0,1,0,0,0,0,0,5,8,5
Chad,36,4,1,1284,4,3,3,0,3,1,0,1,1,0,0,0,8,0,0,0,0,0,0,0,0,0,0,5,4,5
Chile,37,2,3,757,11,2,0,2,3,1,0,1,0,1,0,0,4,0,0,0,1,1,0,0,0,0,0,5,4,0
China,38,5,1,9561,1008,7,0,0,2,1,0,0,1,0,0,0,4,0,0,0,0,5,0,0,0,0,0,4,4,6
Colombia,39,2,4,1139,28,2,0,3,3,1,0,1,1,0,0,0,8,0,0,0,0,0,0,0,0,0,0,8,4,0
Comorro-Islands,40,4,2,2,0,3,0,0,2,0,1,0,0,1,0,0,3,0,0,0,0,4,1,0,0,0,0,3,3,2
Congo,41,4,2,342,2,10,0,0,3,1,1,0,1,0,0,0,4,0,0,0,0,1,0,0,1,1,0,4,4,5
Cook-Islands,42,6,3,0,0,1,0,0,4,1,0,1,0,1,0,0,5,1,1,1,1,15,0,0,0,0,0,1,5,1
Costa-Rica,43,1,4,51,2,2,0,5,3,1,0,1,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,5,5,0
Cuba,44,1,4,115,10,2,0,5,3,1,0,1,0,1,0,0,5,0,0,0,0,1,0,1,0,0,0,5,5,6
Cyprus,45,3,1,9,1,6,0,0,3,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1,1,1
Czechoslovakia,46,3,1,128,15,5,0,0,3,1,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,4,6
Denmark,47,3,1,43,5,6,0,0,2,1,0,0,0,1,0,0,4,0,1,0,0,0,0,0,0,0,0,4,4,1
Djibouti,48,4,1,22,0,3,0,0,4,1,1,1,0,1,0,0,5,0,0,0,0,1,0,1,0,0,0,1,3,2
Dominica,49,1,4,0,0,1,0,0,6,1,1,1,1,1,1,0,3,1,0,0,0,10,0,0,0,1,0,3,3,1
Dominican-Republic,50,1,4,49,6,2,0,0,3,1,0,1,0,1,0,0,5,0,1,0,0,0,0,0,0,0,0,5,5,0
Ecuador,51,2,3,284,8,2,0,3,3,1,0,1,1,0,0,0,8,0,0,0,0,0,0,0,0,0,0,8,4,0
Egypt,52,4,1,1001,47,8,0,3,4,1,0,0,1,1,1,0,2,0,0,0,0,0,0,0,0,1,1,4,2,2
El-Salvador,53,1,4,21,5,2,0,3,2,0,0,1,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,5,5,0
Equatorial-Guinea,54,4,1,28,0,10,0,3,4,1,1,1,0,1,0,0,3,0,0,0,0,0,0,1,0,0,0,3,4,5
Ethiopia,55,4,1,1222,31,10,0,3,3,1,1,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,4,1
Faeroes,56,3,4,1,0,6,0,0,3,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1
Falklands-Malvinas,57,2,3,12,0,1,0,0,6,1,1,1,1,1,0,0,5,1,1,1,1,0,0,0,1,1,1,1,5,1
Fiji,58,6,2,18,1,1,0,0,7,1,1,1,1,1,0,1,5,0,2,1,1,0,0,0,1,1,0,1,5,1
Finland,59,3,1,337,5,9,0,0,2,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1
France,60,3,1,547,54,3,3,0,3,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,5,4,0
French-Guiana,61,2,4,91,0,3,3,0,3,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,5,4,0
French-Polynesia,62,6,3,4,0,3,0,3,5,1,0,1,1,1,1,0,4,1,0,0,0,1,0,0,1,0,0,4,4,0
Gabon,63,4,2,268,1,10,0,3,3,0,1,1,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,5,5
Gambia,64,4,4,10,1,1,0,5,4,1,1,1,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,4,3,5
Germany-DDR,65,3,1,108,17,4,0,3,3,1,0,0,1,0,1,0,8,0,0,0,0,0,0,0,1,0,0,2,8,6
Germany-FRG,66,3,1,249,61,4,0,3,3,1,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,2,8,1
Ghana,67,4,4,239,14,1,0,3,4,1,1,0,1,0,1,0,4,0,0,0,0,1,0,0,0,0,0,4,3,5
Gibraltar,68,3,4,0,0,1,0,1,3,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,4,1
Greece,69,3,1,132,10,6,0,9,2,0,0,1,0,1,0,0,5,0,1,0,1,0,0,0,0,0,0,5,5,1
Greenland,70,1,4,2176,0,6,0,0,2,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,4,1
Grenada,71,1,4,0,0,1,0,0,3,1,1,0,1,0,0,0,8,1,0,0,0,7,0,1,0,1,0,4,4,1
